data\test\image\cxrimage_16932.png,data\test\mask\cxrmask_16932.jpeg
data\test\image\cxrimage_18895.png,data\test\mask\cxrmask_18895.jpeg
data\test\image\cxrimage_18896.png,data\test\mask\cxrmask_18896.jpeg
data\test\image\cxrimage_18897.png,data\test\mask\cxrmask_18897.jpeg
data\test\image\cxrimage_18898.png,data\test\mask\cxrmask_18898.jpeg
data\test\image\cxrimage_18899.png,data\test\mask\cxrmask_18899.jpeg
data\test\image\cxrimage_18900.png,data\test\mask\cxrmask_18900.jpeg
data\test\image\cxrimage_18901.png,data\test\mask\cxrmask_18901.jpeg
data\test\image\cxrimage_18902.png,data\test\mask\cxrmask_18902.jpeg
data\test\image\cxrimage_18903.png,data\test\mask\cxrmask_18903.jpeg
data\test\image\cxrimage_18904.png,data\test\mask\cxrmask_18904.jpeg
data\test\image\cxrimage_18905.png,data\test\mask\cxrmask_18905.jpeg
data\test\image\cxrimage_18906.png,data\test\mask\cxrmask_18906.jpeg
data\test\image\cxrimage_18907.png,data\test\mask\cxrmask_18907.jpeg
data\test\image\cxrimage_18908.png,data\test\mask\cxrmask_18908.jpeg
data\test\image\cxrimage_18909.png,data\test\mask\cxrmask_18909.jpeg
data\test\image\cxrimage_18910.png,data\test\mask\cxrmask_18910.jpeg
data\test\image\cxrimage_18911.png,data\test\mask\cxrmask_18911.jpeg
data\test\image\cxrimage_18912.png,data\test\mask\cxrmask_18912.jpeg
data\test\image\cxrimage_18913.png,data\test\mask\cxrmask_18913.jpeg
data\test\image\cxrimage_18914.png,data\test\mask\cxrmask_18914.jpeg
data\test\image\cxrimage_18915.png,data\test\mask\cxrmask_18915.jpeg
data\test\image\cxrimage_18916.png,data\test\mask\cxrmask_18916.jpeg
data\test\image\cxrimage_18917.png,data\test\mask\cxrmask_18917.jpeg
data\test\image\cxrimage_18918.png,data\test\mask\cxrmask_18918.jpeg
data\test\image\cxrimage_18919.png,data\test\mask\cxrmask_18919.jpeg
data\test\image\cxrimage_18920.png,data\test\mask\cxrmask_18920.jpeg
data\test\image\cxrimage_18921.png,data\test\mask\cxrmask_18921.jpeg
data\test\image\cxrimage_18922.png,data\test\mask\cxrmask_18922.jpeg
data\test\image\cxrimage_18923.png,data\test\mask\cxrmask_18923.jpeg
data\test\image\cxrimage_18924.png,data\test\mask\cxrmask_18924.jpeg
data\test\image\cxrimage_18925.png,data\test\mask\cxrmask_18925.jpeg
data\test\image\cxrimage_18926.png,data\test\mask\cxrmask_18926.jpeg
data\test\image\cxrimage_18927.png,data\test\mask\cxrmask_18927.jpeg
data\test\image\cxrimage_18928.png,data\test\mask\cxrmask_18928.jpeg
data\test\image\cxrimage_18929.png,data\test\mask\cxrmask_18929.jpeg
data\test\image\cxrimage_18930.png,data\test\mask\cxrmask_18930.jpeg
data\test\image\cxrimage_18931.png,data\test\mask\cxrmask_18931.jpeg
data\test\image\cxrimage_18932.png,data\test\mask\cxrmask_18932.jpeg
data\test\image\cxrimage_18933.png,data\test\mask\cxrmask_18933.jpeg
data\test\image\cxrimage_18934.png,data\test\mask\cxrmask_18934.jpeg
data\test\image\cxrimage_18935.png,data\test\mask\cxrmask_18935.jpeg
data\test\image\cxrimage_18936.png,data\test\mask\cxrmask_18936.jpeg
data\test\image\cxrimage_18937.png,data\test\mask\cxrmask_18937.jpeg
data\test\image\cxrimage_18938.png,data\test\mask\cxrmask_18938.jpeg
data\test\image\cxrimage_18939.png,data\test\mask\cxrmask_18939.jpeg
data\test\image\cxrimage_18940.png,data\test\mask\cxrmask_18940.jpeg
data\test\image\cxrimage_18941.png,data\test\mask\cxrmask_18941.jpeg
data\test\image\cxrimage_18942.png,data\test\mask\cxrmask_18942.jpeg
data\test\image\cxrimage_18943.png,data\test\mask\cxrmask_18943.jpeg
data\test\image\cxrimage_18944.png,data\test\mask\cxrmask_18944.jpeg
data\test\image\cxrimage_18945.png,data\test\mask\cxrmask_18945.jpeg
data\test\image\cxrimage_18946.png,data\test\mask\cxrmask_18946.jpeg
data\test\image\cxrimage_18947.png,data\test\mask\cxrmask_18947.jpeg
data\test\image\cxrimage_18948.png,data\test\mask\cxrmask_18948.jpeg
data\test\image\cxrimage_18949.png,data\test\mask\cxrmask_18949.jpeg
data\test\image\cxrimage_18950.png,data\test\mask\cxrmask_18950.jpeg
data\test\image\cxrimage_18951.png,data\test\mask\cxrmask_18951.jpeg
data\test\image\cxrimage_18952.png,data\test\mask\cxrmask_18952.jpeg
data\test\image\cxrimage_18953.png,data\test\mask\cxrmask_18953.jpeg
data\test\image\cxrimage_18954.png,data\test\mask\cxrmask_18954.jpeg
data\test\image\cxrimage_18955.png,data\test\mask\cxrmask_18955.jpeg
data\test\image\cxrimage_18956.png,data\test\mask\cxrmask_18956.jpeg
data\test\image\cxrimage_18957.png,data\test\mask\cxrmask_18957.jpeg
data\test\image\cxrimage_18958.png,data\test\mask\cxrmask_18958.jpeg
data\test\image\cxrimage_18959.png,data\test\mask\cxrmask_18959.jpeg
data\test\image\cxrimage_18960.png,data\test\mask\cxrmask_18960.jpeg
data\test\image\cxrimage_18961.png,data\test\mask\cxrmask_18961.jpeg
data\test\image\cxrimage_18962.png,data\test\mask\cxrmask_18962.jpeg
data\test\image\cxrimage_18963.png,data\test\mask\cxrmask_18963.jpeg
data\test\image\cxrimage_18964.png,data\test\mask\cxrmask_18964.jpeg
data\test\image\cxrimage_18965.png,data\test\mask\cxrmask_18965.jpeg
data\test\image\cxrimage_18966.png,data\test\mask\cxrmask_18966.jpeg
data\test\image\cxrimage_18967.png,data\test\mask\cxrmask_18967.jpeg
data\test\image\cxrimage_18968.png,data\test\mask\cxrmask_18968.jpeg
data\test\image\cxrimage_18969.png,data\test\mask\cxrmask_18969.jpeg
data\test\image\cxrimage_18970.png,data\test\mask\cxrmask_18970.jpeg
data\test\image\cxrimage_18971.png,data\test\mask\cxrmask_18971.jpeg
data\test\image\cxrimage_18972.png,data\test\mask\cxrmask_18972.jpeg
data\test\image\cxrimage_18973.png,data\test\mask\cxrmask_18973.jpeg
data\test\image\cxrimage_18974.png,data\test\mask\cxrmask_18974.jpeg
data\test\image\cxrimage_18975.png,data\test\mask\cxrmask_18975.jpeg
data\test\image\cxrimage_18976.png,data\test\mask\cxrmask_18976.jpeg
data\test\image\cxrimage_18977.png,data\test\mask\cxrmask_18977.jpeg
data\test\image\cxrimage_18978.png,data\test\mask\cxrmask_18978.jpeg
data\test\image\cxrimage_18979.png,data\test\mask\cxrmask_18979.jpeg
data\test\image\cxrimage_18980.png,data\test\mask\cxrmask_18980.jpeg
data\test\image\cxrimage_18981.png,data\test\mask\cxrmask_18981.jpeg
data\test\image\cxrimage_18982.png,data\test\mask\cxrmask_18982.jpeg
data\test\image\cxrimage_18983.png,data\test\mask\cxrmask_18983.jpeg
data\test\image\cxrimage_18984.png,data\test\mask\cxrmask_18984.jpeg
data\test\image\cxrimage_18985.png,data\test\mask\cxrmask_18985.jpeg
data\test\image\cxrimage_18986.png,data\test\mask\cxrmask_18986.jpeg
data\test\image\cxrimage_18987.png,data\test\mask\cxrmask_18987.jpeg
data\test\image\cxrimage_18988.png,data\test\mask\cxrmask_18988.jpeg
data\test\image\cxrimage_18989.png,data\test\mask\cxrmask_18989.jpeg
data\test\image\cxrimage_18990.png,data\test\mask\cxrmask_18990.jpeg
data\test\image\cxrimage_18991.png,data\test\mask\cxrmask_18991.jpeg
data\test\image\cxrimage_18992.png,data\test\mask\cxrmask_18992.jpeg
data\test\image\cxrimage_18993.png,data\test\mask\cxrmask_18993.jpeg
data\test\image\cxrimage_18994.png,data\test\mask\cxrmask_18994.jpeg
data\test\image\cxrimage_18995.png,data\test\mask\cxrmask_18995.jpeg
data\test\image\cxrimage_18996.png,data\test\mask\cxrmask_18996.jpeg
data\test\image\cxrimage_18997.png,data\test\mask\cxrmask_18997.jpeg
data\test\image\cxrimage_18998.png,data\test\mask\cxrmask_18998.jpeg
data\test\image\cxrimage_18999.png,data\test\mask\cxrmask_18999.jpeg
data\test\image\cxrimage_19000.png,data\test\mask\cxrmask_19000.jpeg
data\test\image\cxrimage_19001.png,data\test\mask\cxrmask_19001.jpeg
data\test\image\cxrimage_19002.png,data\test\mask\cxrmask_19002.jpeg
data\test\image\cxrimage_19003.png,data\test\mask\cxrmask_19003.jpeg
data\test\image\cxrimage_19004.png,data\test\mask\cxrmask_19004.jpeg
data\test\image\cxrimage_19005.png,data\test\mask\cxrmask_19005.jpeg
data\test\image\cxrimage_19006.png,data\test\mask\cxrmask_19006.jpeg
data\test\image\cxrimage_19007.png,data\test\mask\cxrmask_19007.jpeg
data\test\image\cxrimage_19008.png,data\test\mask\cxrmask_19008.jpeg
data\test\image\cxrimage_19009.png,data\test\mask\cxrmask_19009.jpeg
data\test\image\cxrimage_19010.png,data\test\mask\cxrmask_19010.jpeg
data\test\image\cxrimage_19011.png,data\test\mask\cxrmask_19011.jpeg
data\test\image\cxrimage_19012.png,data\test\mask\cxrmask_19012.jpeg
data\test\image\cxrimage_19013.png,data\test\mask\cxrmask_19013.jpeg
data\test\image\cxrimage_19014.png,data\test\mask\cxrmask_19014.jpeg
data\test\image\cxrimage_19015.png,data\test\mask\cxrmask_19015.jpeg
data\test\image\cxrimage_19016.png,data\test\mask\cxrmask_19016.jpeg
data\test\image\cxrimage_19017.png,data\test\mask\cxrmask_19017.jpeg
data\test\image\cxrimage_19018.png,data\test\mask\cxrmask_19018.jpeg
data\test\image\cxrimage_19019.png,data\test\mask\cxrmask_19019.jpeg
data\test\image\cxrimage_19020.png,data\test\mask\cxrmask_19020.jpeg
data\test\image\cxrimage_19021.png,data\test\mask\cxrmask_19021.jpeg
data\test\image\cxrimage_19022.png,data\test\mask\cxrmask_19022.jpeg
data\test\image\cxrimage_19023.png,data\test\mask\cxrmask_19023.jpeg
data\test\image\cxrimage_19024.png,data\test\mask\cxrmask_19024.jpeg
data\test\image\cxrimage_19025.png,data\test\mask\cxrmask_19025.jpeg
data\test\image\cxrimage_19026.png,data\test\mask\cxrmask_19026.jpeg
data\test\image\cxrimage_19027.png,data\test\mask\cxrmask_19027.jpeg
data\test\image\cxrimage_19028.png,data\test\mask\cxrmask_19028.jpeg
data\test\image\cxrimage_19029.png,data\test\mask\cxrmask_19029.jpeg
data\test\image\cxrimage_19030.png,data\test\mask\cxrmask_19030.jpeg
data\test\image\cxrimage_19031.png,data\test\mask\cxrmask_19031.jpeg
data\test\image\cxrimage_19032.png,data\test\mask\cxrmask_19032.jpeg
data\test\image\cxrimage_19033.png,data\test\mask\cxrmask_19033.jpeg
data\test\image\cxrimage_19034.png,data\test\mask\cxrmask_19034.jpeg
data\test\image\cxrimage_19035.png,data\test\mask\cxrmask_19035.jpeg
data\test\image\cxrimage_19036.png,data\test\mask\cxrmask_19036.jpeg
data\test\image\cxrimage_19037.png,data\test\mask\cxrmask_19037.jpeg
data\test\image\cxrimage_19038.png,data\test\mask\cxrmask_19038.jpeg
data\test\image\cxrimage_19039.png,data\test\mask\cxrmask_19039.jpeg
data\test\image\cxrimage_19040.png,data\test\mask\cxrmask_19040.jpeg
data\test\image\cxrimage_19041.png,data\test\mask\cxrmask_19041.jpeg
data\test\image\cxrimage_19042.png,data\test\mask\cxrmask_19042.jpeg
data\test\image\cxrimage_19043.png,data\test\mask\cxrmask_19043.jpeg
data\test\image\cxrimage_19044.png,data\test\mask\cxrmask_19044.jpeg
data\test\image\cxrimage_19045.png,data\test\mask\cxrmask_19045.jpeg
data\test\image\cxrimage_19046.png,data\test\mask\cxrmask_19046.jpeg
data\test\image\cxrimage_19047.png,data\test\mask\cxrmask_19047.jpeg
data\train\image\cxrimage_0.png,data\train\mask\cxrmask_0.jpeg
data\train\image\cxrimage_1.png,data\train\mask\cxrmask_1.jpeg
data\train\image\cxrimage_10.png,data\train\mask\cxrmask_10.jpeg
data\train\image\cxrimage_100.png,data\train\mask\cxrmask_100.jpeg
data\train\image\cxrimage_1000.png,data\train\mask\cxrmask_1000.jpeg
data\train\image\cxrimage_10000.png,data\train\mask\cxrmask_10000.jpeg
data\train\image\cxrimage_10001.png,data\train\mask\cxrmask_10001.jpeg
data\train\image\cxrimage_10002.png,data\train\mask\cxrmask_10002.jpeg
data\train\image\cxrimage_10003.png,data\train\mask\cxrmask_10003.jpeg
data\train\image\cxrimage_10004.png,data\train\mask\cxrmask_10004.jpeg
data\train\image\cxrimage_10005.png,data\train\mask\cxrmask_10005.jpeg
data\train\image\cxrimage_10006.png,data\train\mask\cxrmask_10006.jpeg
data\train\image\cxrimage_10007.png,data\train\mask\cxrmask_10007.jpeg
data\train\image\cxrimage_10008.png,data\train\mask\cxrmask_10008.jpeg
data\train\image\cxrimage_10009.png,data\train\mask\cxrmask_10009.jpeg
data\train\image\cxrimage_1001.png,data\train\mask\cxrmask_1001.jpeg
data\train\image\cxrimage_10010.png,data\train\mask\cxrmask_10010.jpeg
data\train\image\cxrimage_10011.png,data\train\mask\cxrmask_10011.jpeg
data\train\image\cxrimage_10012.png,data\train\mask\cxrmask_10012.jpeg
data\train\image\cxrimage_10013.png,data\train\mask\cxrmask_10013.jpeg
data\train\image\cxrimage_10014.png,data\train\mask\cxrmask_10014.jpeg
data\train\image\cxrimage_10015.png,data\train\mask\cxrmask_10015.jpeg
data\train\image\cxrimage_10016.png,data\train\mask\cxrmask_10016.jpeg
data\train\image\cxrimage_10017.png,data\train\mask\cxrmask_10017.jpeg
data\train\image\cxrimage_10018.png,data\train\mask\cxrmask_10018.jpeg
data\train\image\cxrimage_10019.png,data\train\mask\cxrmask_10019.jpeg
data\train\image\cxrimage_1002.png,data\train\mask\cxrmask_1002.jpeg
data\train\image\cxrimage_10020.png,data\train\mask\cxrmask_10020.jpeg
data\train\image\cxrimage_10021.png,data\train\mask\cxrmask_10021.jpeg
data\train\image\cxrimage_10022.png,data\train\mask\cxrmask_10022.jpeg
data\train\image\cxrimage_10023.png,data\train\mask\cxrmask_10023.jpeg
data\train\image\cxrimage_10024.png,data\train\mask\cxrmask_10024.jpeg
data\train\image\cxrimage_10025.png,data\train\mask\cxrmask_10025.jpeg
data\train\image\cxrimage_10026.png,data\train\mask\cxrmask_10026.jpeg
data\train\image\cxrimage_10027.png,data\train\mask\cxrmask_10027.jpeg
data\train\image\cxrimage_10028.png,data\train\mask\cxrmask_10028.jpeg
data\train\image\cxrimage_10029.png,data\train\mask\cxrmask_10029.jpeg
data\train\image\cxrimage_1003.png,data\train\mask\cxrmask_1003.jpeg
data\train\image\cxrimage_10030.png,data\train\mask\cxrmask_10030.jpeg
data\train\image\cxrimage_10031.png,data\train\mask\cxrmask_10031.jpeg
data\train\image\cxrimage_10032.png,data\train\mask\cxrmask_10032.jpeg
data\train\image\cxrimage_10033.png,data\train\mask\cxrmask_10033.jpeg
data\train\image\cxrimage_10034.png,data\train\mask\cxrmask_10034.jpeg
data\train\image\cxrimage_10035.png,data\train\mask\cxrmask_10035.jpeg
data\train\image\cxrimage_10036.png,data\train\mask\cxrmask_10036.jpeg
data\train\image\cxrimage_10037.png,data\train\mask\cxrmask_10037.jpeg
data\train\image\cxrimage_10038.png,data\train\mask\cxrmask_10038.jpeg
data\train\image\cxrimage_10039.png,data\train\mask\cxrmask_10039.jpeg
data\train\image\cxrimage_1004.png,data\train\mask\cxrmask_1004.jpeg
data\train\image\cxrimage_10040.png,data\train\mask\cxrmask_10040.jpeg
data\train\image\cxrimage_10041.png,data\train\mask\cxrmask_10041.jpeg
data\train\image\cxrimage_10042.png,data\train\mask\cxrmask_10042.jpeg
data\train\image\cxrimage_10043.png,data\train\mask\cxrmask_10043.jpeg
data\train\image\cxrimage_10044.png,data\train\mask\cxrmask_10044.jpeg
data\train\image\cxrimage_10045.png,data\train\mask\cxrmask_10045.jpeg
data\train\image\cxrimage_10046.png,data\train\mask\cxrmask_10046.jpeg
data\train\image\cxrimage_10047.png,data\train\mask\cxrmask_10047.jpeg
data\train\image\cxrimage_10048.png,data\train\mask\cxrmask_10048.jpeg
data\train\image\cxrimage_10049.png,data\train\mask\cxrmask_10049.jpeg
data\train\image\cxrimage_1005.png,data\train\mask\cxrmask_1005.jpeg
data\train\image\cxrimage_10050.png,data\train\mask\cxrmask_10050.jpeg
data\train\image\cxrimage_10051.png,data\train\mask\cxrmask_10051.jpeg
data\train\image\cxrimage_10052.png,data\train\mask\cxrmask_10052.jpeg
data\train\image\cxrimage_10053.png,data\train\mask\cxrmask_10053.jpeg
data\train\image\cxrimage_10054.png,data\train\mask\cxrmask_10054.jpeg
data\train\image\cxrimage_10055.png,data\train\mask\cxrmask_10055.jpeg
data\train\image\cxrimage_10056.png,data\train\mask\cxrmask_10056.jpeg
data\train\image\cxrimage_10057.png,data\train\mask\cxrmask_10057.jpeg
data\train\image\cxrimage_10058.png,data\train\mask\cxrmask_10058.jpeg
data\train\image\cxrimage_10059.png,data\train\mask\cxrmask_10059.jpeg
data\train\image\cxrimage_1006.png,data\train\mask\cxrmask_1006.jpeg
data\train\image\cxrimage_10060.png,data\train\mask\cxrmask_10060.jpeg
data\train\image\cxrimage_10061.png,data\train\mask\cxrmask_10061.jpeg
data\train\image\cxrimage_10062.png,data\train\mask\cxrmask_10062.jpeg
data\train\image\cxrimage_10063.png,data\train\mask\cxrmask_10063.jpeg
data\train\image\cxrimage_10064.png,data\train\mask\cxrmask_10064.jpeg
data\train\image\cxrimage_10065.png,data\train\mask\cxrmask_10065.jpeg
data\train\image\cxrimage_10066.png,data\train\mask\cxrmask_10066.jpeg
data\train\image\cxrimage_10067.png,data\train\mask\cxrmask_10067.jpeg
data\train\image\cxrimage_10068.png,data\train\mask\cxrmask_10068.jpeg
data\train\image\cxrimage_10069.png,data\train\mask\cxrmask_10069.jpeg
data\train\image\cxrimage_1007.png,data\train\mask\cxrmask_1007.jpeg
data\train\image\cxrimage_10070.png,data\train\mask\cxrmask_10070.jpeg
data\train\image\cxrimage_10071.png,data\train\mask\cxrmask_10071.jpeg
data\train\image\cxrimage_10072.png,data\train\mask\cxrmask_10072.jpeg
data\train\image\cxrimage_10073.png,data\train\mask\cxrmask_10073.jpeg
data\train\image\cxrimage_10074.png,data\train\mask\cxrmask_10074.jpeg
data\train\image\cxrimage_10075.png,data\train\mask\cxrmask_10075.jpeg
data\train\image\cxrimage_10076.png,data\train\mask\cxrmask_10076.jpeg
data\train\image\cxrimage_10077.png,data\train\mask\cxrmask_10077.jpeg
data\train\image\cxrimage_10078.png,data\train\mask\cxrmask_10078.jpeg
data\train\image\cxrimage_10079.png,data\train\mask\cxrmask_10079.jpeg
data\train\image\cxrimage_1008.png,data\train\mask\cxrmask_1008.jpeg
data\train\image\cxrimage_10080.png,data\train\mask\cxrmask_10080.jpeg
data\train\image\cxrimage_10081.png,data\train\mask\cxrmask_10081.jpeg
data\train\image\cxrimage_10082.png,data\train\mask\cxrmask_10082.jpeg
data\train\image\cxrimage_10083.png,data\train\mask\cxrmask_10083.jpeg
data\train\image\cxrimage_10084.png,data\train\mask\cxrmask_10084.jpeg
data\train\image\cxrimage_10085.png,data\train\mask\cxrmask_10085.jpeg
data\train\image\cxrimage_10086.png,data\train\mask\cxrmask_10086.jpeg
data\train\image\cxrimage_10087.png,data\train\mask\cxrmask_10087.jpeg
data\train\image\cxrimage_10088.png,data\train\mask\cxrmask_10088.jpeg
data\train\image\cxrimage_10089.png,data\train\mask\cxrmask_10089.jpeg
data\train\image\cxrimage_1009.png,data\train\mask\cxrmask_1009.jpeg
data\train\image\cxrimage_10090.png,data\train\mask\cxrmask_10090.jpeg
data\train\image\cxrimage_10091.png,data\train\mask\cxrmask_10091.jpeg
data\train\image\cxrimage_10092.png,data\train\mask\cxrmask_10092.jpeg
data\train\image\cxrimage_10093.png,data\train\mask\cxrmask_10093.jpeg
data\train\image\cxrimage_10094.png,data\train\mask\cxrmask_10094.jpeg
data\train\image\cxrimage_10095.png,data\train\mask\cxrmask_10095.jpeg
data\train\image\cxrimage_10096.png,data\train\mask\cxrmask_10096.jpeg
data\train\image\cxrimage_10097.png,data\train\mask\cxrmask_10097.jpeg
data\train\image\cxrimage_10098.png,data\train\mask\cxrmask_10098.jpeg
data\train\image\cxrimage_10099.png,data\train\mask\cxrmask_10099.jpeg
data\train\image\cxrimage_101.png,data\train\mask\cxrmask_101.jpeg
data\train\image\cxrimage_1010.png,data\train\mask\cxrmask_1010.jpeg
data\train\image\cxrimage_10100.png,data\train\mask\cxrmask_10100.jpeg
data\train\image\cxrimage_10101.png,data\train\mask\cxrmask_10101.jpeg
data\train\image\cxrimage_10102.png,data\train\mask\cxrmask_10102.jpeg
data\train\image\cxrimage_10103.png,data\train\mask\cxrmask_10103.jpeg
data\train\image\cxrimage_10104.png,data\train\mask\cxrmask_10104.jpeg
data\train\image\cxrimage_10105.png,data\train\mask\cxrmask_10105.jpeg
data\train\image\cxrimage_10106.png,data\train\mask\cxrmask_10106.jpeg
data\train\image\cxrimage_10107.png,data\train\mask\cxrmask_10107.jpeg
data\train\image\cxrimage_10108.png,data\train\mask\cxrmask_10108.jpeg
data\train\image\cxrimage_10109.png,data\train\mask\cxrmask_10109.jpeg
data\train\image\cxrimage_1011.png,data\train\mask\cxrmask_1011.jpeg
data\train\image\cxrimage_10110.png,data\train\mask\cxrmask_10110.jpeg
data\train\image\cxrimage_10111.png,data\train\mask\cxrmask_10111.jpeg
data\train\image\cxrimage_10112.png,data\train\mask\cxrmask_10112.jpeg
data\train\image\cxrimage_10113.png,data\train\mask\cxrmask_10113.jpeg
data\train\image\cxrimage_10114.png,data\train\mask\cxrmask_10114.jpeg
data\train\image\cxrimage_10115.png,data\train\mask\cxrmask_10115.jpeg
data\train\image\cxrimage_10116.png,data\train\mask\cxrmask_10116.jpeg
data\train\image\cxrimage_10117.png,data\train\mask\cxrmask_10117.jpeg
data\train\image\cxrimage_10118.png,data\train\mask\cxrmask_10118.jpeg
data\train\image\cxrimage_10119.png,data\train\mask\cxrmask_10119.jpeg
data\train\image\cxrimage_1012.png,data\train\mask\cxrmask_1012.jpeg
data\train\image\cxrimage_10120.png,data\train\mask\cxrmask_10120.jpeg
data\train\image\cxrimage_10121.png,data\train\mask\cxrmask_10121.jpeg
data\train\image\cxrimage_10122.png,data\train\mask\cxrmask_10122.jpeg
data\train\image\cxrimage_10123.png,data\train\mask\cxrmask_10123.jpeg
data\train\image\cxrimage_10124.png,data\train\mask\cxrmask_10124.jpeg
data\train\image\cxrimage_10125.png,data\train\mask\cxrmask_10125.jpeg
data\train\image\cxrimage_10126.png,data\train\mask\cxrmask_10126.jpeg
data\train\image\cxrimage_10127.png,data\train\mask\cxrmask_10127.jpeg
data\train\image\cxrimage_10128.png,data\train\mask\cxrmask_10128.jpeg
data\train\image\cxrimage_10129.png,data\train\mask\cxrmask_10129.jpeg
data\train\image\cxrimage_1013.png,data\train\mask\cxrmask_1013.jpeg
data\train\image\cxrimage_10130.png,data\train\mask\cxrmask_10130.jpeg
data\train\image\cxrimage_10131.png,data\train\mask\cxrmask_10131.jpeg
data\train\image\cxrimage_10132.png,data\train\mask\cxrmask_10132.jpeg
data\train\image\cxrimage_10133.png,data\train\mask\cxrmask_10133.jpeg
data\train\image\cxrimage_10134.png,data\train\mask\cxrmask_10134.jpeg
data\train\image\cxrimage_10135.png,data\train\mask\cxrmask_10135.jpeg
data\train\image\cxrimage_10136.png,data\train\mask\cxrmask_10136.jpeg
data\train\image\cxrimage_10137.png,data\train\mask\cxrmask_10137.jpeg
data\train\image\cxrimage_10138.png,data\train\mask\cxrmask_10138.jpeg
data\train\image\cxrimage_10139.png,data\train\mask\cxrmask_10139.jpeg
data\train\image\cxrimage_1014.png,data\train\mask\cxrmask_1014.jpeg
data\train\image\cxrimage_10140.png,data\train\mask\cxrmask_10140.jpeg
data\train\image\cxrimage_10141.png,data\train\mask\cxrmask_10141.jpeg
data\train\image\cxrimage_10142.png,data\train\mask\cxrmask_10142.jpeg
data\train\image\cxrimage_10143.png,data\train\mask\cxrmask_10143.jpeg
data\train\image\cxrimage_10144.png,data\train\mask\cxrmask_10144.jpeg
data\train\image\cxrimage_10145.png,data\train\mask\cxrmask_10145.jpeg
data\train\image\cxrimage_10146.png,data\train\mask\cxrmask_10146.jpeg
data\train\image\cxrimage_10147.png,data\train\mask\cxrmask_10147.jpeg
data\train\image\cxrimage_10148.png,data\train\mask\cxrmask_10148.jpeg
data\train\image\cxrimage_10149.png,data\train\mask\cxrmask_10149.jpeg
data\train\image\cxrimage_1015.png,data\train\mask\cxrmask_1015.jpeg
data\train\image\cxrimage_10150.png,data\train\mask\cxrmask_10150.jpeg
data\train\image\cxrimage_10151.png,data\train\mask\cxrmask_10151.jpeg
data\train\image\cxrimage_10152.png,data\train\mask\cxrmask_10152.jpeg
data\train\image\cxrimage_10153.png,data\train\mask\cxrmask_10153.jpeg
data\train\image\cxrimage_10154.png,data\train\mask\cxrmask_10154.jpeg
data\train\image\cxrimage_10155.png,data\train\mask\cxrmask_10155.jpeg
data\train\image\cxrimage_10156.png,data\train\mask\cxrmask_10156.jpeg
data\train\image\cxrimage_10157.png,data\train\mask\cxrmask_10157.jpeg
data\train\image\cxrimage_10158.png,data\train\mask\cxrmask_10158.jpeg
data\train\image\cxrimage_10159.png,data\train\mask\cxrmask_10159.jpeg
data\train\image\cxrimage_1016.png,data\train\mask\cxrmask_1016.jpeg
data\train\image\cxrimage_10160.png,data\train\mask\cxrmask_10160.jpeg
data\train\image\cxrimage_10161.png,data\train\mask\cxrmask_10161.jpeg
data\train\image\cxrimage_10162.png,data\train\mask\cxrmask_10162.jpeg
data\train\image\cxrimage_10163.png,data\train\mask\cxrmask_10163.jpeg
data\train\image\cxrimage_10164.png,data\train\mask\cxrmask_10164.jpeg
data\train\image\cxrimage_10165.png,data\train\mask\cxrmask_10165.jpeg
data\train\image\cxrimage_10166.png,data\train\mask\cxrmask_10166.jpeg
data\train\image\cxrimage_10167.png,data\train\mask\cxrmask_10167.jpeg
data\train\image\cxrimage_10168.png,data\train\mask\cxrmask_10168.jpeg
data\train\image\cxrimage_10169.png,data\train\mask\cxrmask_10169.jpeg
data\train\image\cxrimage_1017.png,data\train\mask\cxrmask_1017.jpeg
data\train\image\cxrimage_10170.png,data\train\mask\cxrmask_10170.jpeg
data\train\image\cxrimage_10171.png,data\train\mask\cxrmask_10171.jpeg
data\train\image\cxrimage_10172.png,data\train\mask\cxrmask_10172.jpeg
data\train\image\cxrimage_10173.png,data\train\mask\cxrmask_10173.jpeg
data\train\image\cxrimage_10174.png,data\train\mask\cxrmask_10174.jpeg
data\train\image\cxrimage_10175.png,data\train\mask\cxrmask_10175.jpeg
data\train\image\cxrimage_10176.png,data\train\mask\cxrmask_10176.jpeg
data\train\image\cxrimage_10177.png,data\train\mask\cxrmask_10177.jpeg
data\train\image\cxrimage_10178.png,data\train\mask\cxrmask_10178.jpeg
data\train\image\cxrimage_10179.png,data\train\mask\cxrmask_10179.jpeg
data\train\image\cxrimage_1018.png,data\train\mask\cxrmask_1018.jpeg
data\train\image\cxrimage_10180.png,data\train\mask\cxrmask_10180.jpeg
data\train\image\cxrimage_10181.png,data\train\mask\cxrmask_10181.jpeg
data\train\image\cxrimage_10182.png,data\train\mask\cxrmask_10182.jpeg
data\train\image\cxrimage_10183.png,data\train\mask\cxrmask_10183.jpeg
data\train\image\cxrimage_10184.png,data\train\mask\cxrmask_10184.jpeg
data\train\image\cxrimage_10185.png,data\train\mask\cxrmask_10185.jpeg
data\train\image\cxrimage_10186.png,data\train\mask\cxrmask_10186.jpeg
data\train\image\cxrimage_10187.png,data\train\mask\cxrmask_10187.jpeg
data\train\image\cxrimage_10188.png,data\train\mask\cxrmask_10188.jpeg
data\train\image\cxrimage_10189.png,data\train\mask\cxrmask_10189.jpeg
